Server Name	database_name	backup_start_date	backup_finish_date	server_name	user_name	type	physical_device_name
OAZISDB	OAZMOLP	2025-02-28 00:15:01.000	2025-02-28 00:15:01.000	OAZISDB	NT AUTHORITY\SYSTEM	L	L:\LogShip\OAZMOLP_20250227231501.trn
OAZISDB	OAZP	2025-02-28 00:15:01.000	2025-02-28 00:15:01.000	OAZISDB	NT AUTHORITY\SYSTEM	L	L:\LogShip\OAZP_20250227231501.trn
OAZISDB	OAZMOLP	2025-02-28 00:30:00.000	2025-02-28 00:30:00.000	OAZISDB	NT AUTHORITY\SYSTEM	L	L:\LogShip\OAZMOLP_20250227233000.trn
OAZISDB	OAZP	2025-02-28 00:30:00.000	2025-02-28 00:30:01.000	OAZISDB	NT AUTHORITY\SYSTEM	L	L:\LogShip\OAZP_20250227233000.trn
OAZISDB	master	2025-02-28 00:40:43.000	2025-02-28 00:40:54.000	OAZISDB	NT AUTHORITY\SYSTEM	D	{9F8D89D4-CB62-4452-99FB-771019C7D7BE}5
OAZISDB	msdb	2025-02-28 00:40:42.000	2025-02-28 00:40:54.000	OAZISDB	NT AUTHORITY\SYSTEM	D	{9F8D89D4-CB62-4452-99FB-771019C7D7BE}2
OAZISDB	model	2025-02-28 00:40:42.000	2025-02-28 00:40:54.000	OAZISDB	NT AUTHORITY\SYSTEM	D	{9F8D89D4-CB62-4452-99FB-771019C7D7BE}1
OAZISDB	OAZP	2025-02-28 00:40:42.000	2025-02-28 00:40:54.000	OAZISDB	NT AUTHORITY\SYSTEM	D	{9F8D89D4-CB62-4452-99FB-771019C7D7BE}4
OAZISDB	OAZMOLP	2025-02-28 00:40:42.000	2025-02-28 00:40:54.000	OAZISDB	NT AUTHORITY\SYSTEM	D	{9F8D89D4-CB62-4452-99FB-771019C7D7BE}3
OAZISDB	OAZMOLP	2025-02-28 00:45:00.000	2025-02-28 00:45:00.000	OAZISDB	NT AUTHORITY\SYSTEM	L	L:\LogShip\OAZMOLP_20250227234500.trn
OAZISDB	OAZP	2025-02-28 00:45:00.000	2025-02-28 00:45:17.000	OAZISDB	NT AUTHORITY\SYSTEM	L	L:\LogShip\OAZP_20250227234500.trn
OAZISDB	OAZMOLP	2025-02-28 01:00:02.000	2025-02-28 01:00:02.000	OAZISDB	NT AUTHORITY\SYSTEM	L	L:\LogShip\OAZMOLP_20250228000001.trn
OAZISDB	OAZP	2025-02-28 01:00:02.000	2025-02-28 01:00:18.000	OAZISDB	NT AUTHORITY\SYSTEM	L	L:\LogShip\OAZP_20250228000001.trn
OAZISDB	OAZMOLP	2025-02-28 01:15:01.000	2025-02-28 01:15:01.000	OAZISDB	NT AUTHORITY\SYSTEM	L	L:\LogShip\OAZMOLP_20250228001501.trn
OAZISDB	OAZP	2025-02-28 01:15:01.000	2025-02-28 01:15:07.000	OAZISDB	NT AUTHORITY\SYSTEM	L	L:\LogShip\OAZP_20250228001501.trn
OAZISDB	OAZMOLP	2025-02-28 01:30:01.000	2025-02-28 01:30:01.000	OAZISDB	NT AUTHORITY\SYSTEM	L	L:\LogShip\OAZMOLP_20250228003001.trn
OAZISDB	OAZP	2025-02-28 01:30:01.000	2025-02-28 01:30:08.000	OAZISDB	NT AUTHORITY\SYSTEM	L	L:\LogShip\OAZP_20250228003001.trn
